"word","freq"
"room",267
"in",229
"for",165
"rent",142
"bedroom",97
"private",93
"furnished",87
"available",68
"bath",63
"to",59
"home",54
"a",54
"1",51
"house",49
"with",48
"2",40
"master",38
"large",38
"and",36
"beautiful",28
"single",27
"w",26
"nice",26
"san",25
"utilities",24
"shared",23
"bed",22
"new",21
"quiet",21
"near",19
"3",18
"month",18
"all",18
"bathroom",17
"included",17
"rooms",16
"apartment",15
"valley",15
"suite",14
"spacious",14
"share",14
"one",14
"on",14
"3br",14
"close",13
"the",13
"now",13
"female",13
"living",12
"great",12
"sunny",12
"hills",12
"2ba",12
"lrge",12
"nuly",12
"bart",12
"nov",11
"huge",11
"fully",11
"of",10
"south",10
"hill",10
"walk",10
"wifi",10
"view",10
"jose",10
"bdrm",10
"big",10
"hayward",9
"at",9
"location",9
"br",9
"neighborhood",9
"utils",9
"avail",9
"walking",9
"mission",8
"apt",8
"francisco",8
"north",8
"1ba",8
"ucb",8
"remodeled",8
"roommate",8
"inc",8
"double",7
"looking",7
"condo",7
"beach",7
"cozy",7
"free",7
"silicon",7
"rm",7
"park",7
"district",6
"brand",6
"entrance",6
"professional",6
"victorian",6
"downtown",6
"peaceful",6
"5",6
"day",6
"renovated",6
"3ba",6
"prvt",6
"4",6
"fremont",6
"sf",6
"bright",6
"floor",6
"you",6
"only",6
"clean",6
"small",6
"co",5
"city",5
"wanted",5
"1b",5
"students",5
"upscale",5
"2br",5
"coliving",5
"lrg",5
"s",5
"week",5
"mstr",5
"parking",5
"closet",5
"lovely",5
"distance",5
"bedrooms",5
"1st",4
"rental",4
"best",4
"x",4
"sunnyvale",4
"convenient",4
"today",4
"street",4
"gorgeous",4
"views",4
"townhouse",4
"modern",4
"next",4
"concord",4
"luxury",4
"5bd",4
"includes",4
"lease",4
"inclusive",4
"move",4
"entry",4
"good",4
"or",4
"sj",4
"castro",4
"richmond",4
"community",4
"friendly",4
"green",4
"renta",4
"lake",4
"commuter",4
"short",4
"area",4
"unit",4
"open",4
"2b",4
"from",4
"sfsu",4
"ccsf",4
"chinatown",4
"inner",3
"male",3
"loft",3
"separate",3
"stunning",3
"incl",3
"high",3
"triple",3
"townhome",3
"ideal",3
"town",3
"size",3
"nob",3
"berkeley",3
"lower",3
"noe",3
"newly",3
"needed",3
"3bd",3
"law",3
"marina",3
"bay",3
"oakland",3
"min",3
"studio",3
"2bath",3
"2nd",3
"furnish",3
"super",3
"family",3
"gay",3
"place",3
"bd",3
"country",3
"term",3
"el",3
"preferred",3
"usf",3
"ave",3
"flat",3
"santa",3
"newer",3
"pleasant",3
"east",3
"en",3
"oct",3
"merritt",3
"financial",3
"ready",3
"csueb",3
"no",3
"student",3
"fall",3
"campus",3
"top",3
"mateo",2
"residential",2
"prime",2
"sunset",2
"own",2
"experience",2
"working",2
"november",2
"communications",2
"little",2
"italy",2
"utility",2
"apple",2
"live",2
"sweet",2
"line",2
"west",2
"side",2
